nan,1113
10 months,244
6 months,207
3 months,206
4 months,203
5 months,199
1 year,176
2 months,175
1 year 3 months,173
1 year 2 months,168
2 years,160
8 months,160
1 year 4 months,159
1 year 10 months,153
7 months,144
1 year 7 months,132
1 year 1 month,130
1 year 5 months,128
9 months,120
1 year 6 months,117
2 years 3 months,115
1 year 8 months,112
2 years 1 month,109
2 years 4 months,107
2 years 10 months,106
2 years 2 months,105
3 years,101
11 months,100
2 years 5 months,91
1 year 9 months,82
3 years 3 months,81
4 years,74
1 month,73
3 years 10 months,73
3 years 2 months,73
2 years 9 months,69
1 year 11 months,68
2 years 6 months,67
4 years 3 months,67
2 years 7 months,66
3 years 5 months,65
3 years 8 months,56
7 years,56
3 years 6 months,56
4 years 2 months,55
2 years 8 months,53
3 years 4 months,50
6 years,49
less than a year,49
5 years,48
3 years 1 month,45
4 years 5 months,42
4 years 1 month,41
4 years 10 months,41
3 years 7 months,40
5 years 10 months,38
9 years,37
4 years 7 months,37
4 years 4 months,36
2 years 11 months,36
5 years 2 months,35
3 years 9 months,34
5 years 3 months,33
4 years 6 months,32
6 years 10 months,32
10 years,31
6 years 1 month,29
6 years 3 months,27
8 years,27
4 years 9 months,26
8 years 3 months,22
5 years 9 months,22
5 years 7 months,22
7 years 2 months,21
9 years 10 months,21
5 years 5 months,21
9 years 5 months,20
7 years 6 months,19
4 years 8 months,19
7 years 10 months,19
6 years 6 months,18
6 years 4 months,18
3 years 11 months,18
6 years 2 months,17
8 years 4 months,17
10 years 7 months,17
6 years 5 months,17
12 years,16
7 years 9 months,16
6 years 8 months,16
8 years 6 months,16
7 years 4 months,16
7 years 5 months,15
8 years 8 months,15
5 years 1 month,15
7 years 1 month,14
8 years 5 months,14
7 years 8 months,14
10 years 10 months,14
13 years,14
8 years 10 months,14
5 years 4 months,14
11 years,13
8 years 7 months,13
6 years 7 months,13
9 years 2 months,13
9 years 3 months,13
8 years 11 months,12
15 years,12
5 years 6 months,12
5 years 8 months,12
13 years 10 months,12
11 years 10 months,12
9 years 6 months,11
9 years 4 months,11
7 years 7 months,11
4 years 11 months,11
14 years,11
10 years 2 months,11
8 years 1 month,11
12 years 10 months,11
18 years,11
9 years 8 months,10
8 years 9 months,10
10 years 5 months,10
14 years 10 months,10
6 years 11 months,10
10 years 3 months,9
5 years 11 months,9
8 years 2 months,9
17 years,9
9 years 7 months,9
12 years 3 months,9
12 years 5 months,8
16 years 6 months,8
15 years 3 months,8
6 years 9 months,8
12 years 7 months,8
11 years 2 months,8
14 years 2 months,8
9 years 1 month,8
16 years,8
14 years 5 months,8
23 years,7
12 years 1 month,7
14 years 7 months,7
7 years 3 months,7
10 years 4 months,7
16 years 10 months,7
19 years,7
9 years 9 months,7
13 years 3 months,7
30 years,7
17 years 4 months,6
16 years 9 months,6
12 years 4 months,6
14 years 9 months,6
17 years 1 month,6
7 years 11 months,6
18 years 10 months,6
17 years 6 months,6
13 years 4 months,6
14 years 8 months,6
16 years 5 months,6
11 years 8 months,5
13 years 8 months,5
15 years 7 months,5
13 years 2 months,5
11 years 3 months,5
17 years 7 months,5
12 years 9 months,5
11 years 5 months,5
15 years 10 months,5
17 years 10 months,5
13 years 6 months,5
11 years 9 months,5
21 years 10 months,5
13 years 5 months,5
11 years 6 months,5
17 years 5 months,4
11 years 11 months,4
13 years 9 months,4
10 years 8 months,4
13 years 1 month,4
15 years 2 months,4
14 years 4 months,4
20 years 4 months,4
34 years,4
10 years 11 months,4
20 years,4
12 years 2 months,4
19 years 6 months,4
11 years 7 months,4
18 years 5 months,4
10 years 1 month,4
17 years 9 months,4
14 years 1 month,4
16 years 2 months,4
28 years 4 months,3
26 years 1 month,3
15 years 4 months,3
24 years,3
26 years 2 months,3
18 years 8 months,3
14 years 6 months,3
25 years 5 months,3
10 years 9 months,3
10 years 6 months,3
15 years 6 months,3
32 years 5 months,3
16 years 3 months,3
27 years,3
22 years 10 months,3
14 years 3 months,3
35 years 6 months,3
12 years 11 months,3
19 years 4 months,3
12 years 8 months,3
11 years 1 month,3
30 years 2 months,3
26 years,3
24 years 8 months,3
11 years 4 months,3
22 years,3
24 years 6 months,3
19 years 10 months,3
19 years 2 months,3
18 years 6 months,3
27 years 10 months,3
21 years 2 months,3
18 years 9 months,3
30 years 10 months,3
20 years 10 months,3
15 years 5 months,3
20 years 5 months,2
24 years 10 months,2
27 years 1 month,2
34 years 9 months,2
31 years,2
20 years 2 months,2
31 years 10 months,2
28 years 10 months,2
13 years 7 months,2
32 years,2
28 years 2 months,2
2 ans,2
18 years 7 months,2
19 years 1 month,2
16 years 7 months,2
16 years 1 month,2
26 years 3 months,2
23 years 3 months,2
19 years 3 months,2
36 years 1 month,2
15 years 8 months,2
19 years 8 months,2
38 years,2
28 years,2
16 years 11 months,2
34 years 10 months,2
33 years 4 months,2
9 years 11 months,2
33 years 8 months,2
1åÔÌäÌ£ 7ååÁÌåÒÌÌÒ,2
23 years 2 months,2
24 years 9 months,2
26 years 7 months,2
17 years 2 months,2
16 years 4 months,2
17 years 8 months,2
12 years 6 months,2
34 years 3 months,2
20 years 1 month,2
25 years 8 months,2
18 years 2 months,2
27 years 2 months,2
24 years 4 months,2
25 years 3 months,2
22 years 9 months,2
22 years 5 months,2
14 years 11 months,2
19 years 5 months,2
18 years 4 months,2
33 years 3 months,2
26 years 10 months,2
28 years 3 months,2
33 years 10 months,1
30 years 6 months,1
1 Jahr 8 Monate,1
1 ano 5 meses,1
22 years 7 months,1
4 Jahre 5 Monate,1
21 years,1
7 mois,1
35 years 4 months,1
39 years 2 months,1
15 let,1
30 years 7 months,1
23 years 9 months,1
1 aÌÎå±o 8 meses,1
29 years 3 months,1
25 years,1
32 years 8 months,1
5åÔÌäÌ£ 5ååÁÌåÒÌÌÒ,1
24 years 5 months,1
24 years 3 months,1
36 years 9 months,1
22 years 4 months,1
20 anos 8 meses,1
13 years 11 months,1
37 years 10 months,1
25 years 11 months,1
34 years 2 months,1
2 Monate,1
21 years 3 months,1
6 yåÛå±l 1 ay,1
36 years 3 months,1
19 years 7 months,1
58 years 6 months,1
31 years 3 months,1
2 anos 3 meses,1
21 years 7 months,1
31 years 2 months,1
35 years 9 months,1
2åÔÌäÌ£ 7ååÁÌåÒÌÌÒ,1
21 years 9 months,1
24 years 7 months,1
4 mois,1
31 years 5 months,1
34 years 5 months,1
26 years 6 months,1
34 years 8 months,1
33 years 2 months,1
48 years 1 month,1
20 years 3 months,1
10åÔÌäÌ£ 3ååÁÌåÒÌÌÒ,1
37 years 1 month,1
11 _Ìö_åµåãÌ¢,1
2 anni 1 mese,1
3 ans,1
2 roky 5 måÛÌsÌÎ_cåÌü,1
1 Jahr 1 Monat,1
6 mois,1
29 years 10 months,1
30 years 9 months,1
1 an,1
4 Jahre 1 Monat,1
47 years 6 months,1
7ååÁÌåÒÌÌÒ,1
29 years 6 months,1
21 years 6 months,1
1åÔÌäÌ£ 10ååÁÌåÒÌÌÒ,1
27 ans 2 mois,1
22 years 3 months,1
26 years 9 months,1
42 years 4 months,1
21 years 8 months,1
30 years 3 months,1
21 years 5 months,1
Graduate,1
Undergraduate,1
Computer Sales Associate,1
38 years 10 months,1
35 years,1
45 years 10 months,1
25 years 4 months,1
36 years 5 months,1
1 ano 3 meses,1
18 years 11 months,1
41 years 1 month,1
2ååÁÌåÒÌÌÒ,1
42 years,1
1åÎ_åÇ 10åÜÌãå_å_ÌÌ¦,1
32 years 10 months,1
25 years 10 months,1
28 years 11 months,1
15 years 1 month,1
3 aÌÎå±os 4 meses,1
27 years 3 months,1
5 aÌÎå±os 6 meses,1
9 mois,1
3ååÁÌåÒÌÌÒ,1
10 aÌÎå±os 8 meses,1
34 years 4 months,1
1 aÌÎå±o 9 meses,1
37 years 4 months,1
32 years 3 months,1
32 years 2 months,1
37 years,1
37 years 6 months,1
